X,Y,Z
6.070000,-16.700000,-63.340000
-15.650000,6.630000,-13.980000
-14.450000,5.670000,-14.100000
5.490000,-15.070000,-63.650000
5.320000,4.710000,35.410000
6.590000,6.020000,35.250000
-14.440000,5.690000,-14.100000
5.590000,4.660000,35.330000
5.330000,4.710000,35.380000
-14.420000,5.880000,-14.220000
5.270000,5.020000,35.390000
-15.420000,6.390000,-14.010000
-14.820000,6.290000,-13.910000
5.460000,-15.080000,-63.700000
-14.760000,5.620000,-14.080000
5.720000,4.630000,35.410000
-14.420000,5.700000,-14.020000
5.580000,4.620000,35.420000
5.240000,4.850000,35.450000
5.220000,-15.720000,-63.630000
-14.450000,5.670000,-13.960000
-14.710000,5.580000,-14.120000
-14.960000,5.690000,-14.290000
-15.230000,6.350000,-13.960000
-15.090000,6.060000,-13.650000
6.170000,-16.430000,-63.770000
5.460000,-15.310000,-63.410000
5.290000,-15.140000,-63.620000
5.680000,4.860000,35.650000
5.500000,4.640000,35.400000
-14.450000,5.650000,-13.970000
5.630000,-15.070000,-63.630000
5.450000,-15.070000,-63.610000
-14.420000,5.710000,-13.970000
5.360000,-15.100000,-63.600000
6.500000,5.660000,35.290000
6.310000,5.740000,35.380000
5.300000,-15.160000,-63.670000
5.340000,4.710000,35.450000
6.620000,5.900000,35.220000
5.420000,-15.280000,-63.410000
5.430000,5.190000,35.290000
5.600000,4.780000,35.650000
5.390000,-15.090000,-63.700000
5.270000,-15.240000,-63.650000
-14.460000,5.660000,-14.130000
5.400000,4.700000,35.310000
5.590000,-15.070000,-63.650000
-15.250000,6.110000,-13.700000
5.510000,4.910000,35.290000
-16.080000,6.260000,-13.810000
5.290000,5.050000,35.290000
-14.520000,5.700000,-13.960000
6.490000,5.800000,35.290000
5.590000,4.620000,35.440000
-14.640000,5.640000,-14.260000
-15.870000,6.210000,-14.010000
5.890000,-16.630000,-63.410000
6.120000,-16.460000,-63.410000
5.550000,4.890000,35.650000
5.990000,-16.390000,-63.540000
5.380000,-15.470000,-63.770000
5.380000,4.740000,35.300000
-14.830000,5.580000,-14.090000
5.370000,4.670000,35.440000
-14.460000,5.850000,-13.780000
5.200000,-15.600000,-63.710000
5.290000,4.740000,35.440000
5.410000,-15.080000,-63.650000
5.480000,4.680000,35.300000
6.630000,5.860000,35.160000
6.060000,4.830000,35.370000
-14.460000,5.680000,-13.930000
5.540000,4.930000,35.460000
5.270000,4.770000,35.450000
5.240000,-15.260000,-63.690000
5.700000,4.890000,35.290000
5.320000,-15.120000,-63.630000
5.370000,4.680000,35.410000
5.220000,-15.700000,-63.650000
-14.470000,5.640000,-14.050000
5.500000,4.900000,35.290000
-14.610000,5.580000,-14.100000
5.300000,4.800000,35.340000
5.250000,5.010000,35.430000
5.540000,-15.340000,-63.410000
-15.310000,6.220000,-13.850000
5.990000,-16.540000,-63.770000
5.180000,-15.570000,-63.600000
5.620000,5.200000,35.370000
5.550000,-15.060000,-63.650000
5.320000,4.740000,35.370000
5.780000,-15.500000,-63.770000
5.970000,-16.470000,-63.410000
5.260000,5.040000,35.430000
5.810000,-16.580000,-63.770000
5.870000,-15.670000,-63.410000
-14.590000,5.570000,-14.080000
5.830000,-15.470000,-63.770000
-14.660000,5.790000,-13.940000
5.870000,-15.560000,-63.770000
-14.390000,5.770000,-13.960000
6.010000,-16.480000,-63.410000
5.440000,4.910000,35.650000
5.430000,-15.090000,-63.700000
6.370000,5.740000,35.390000
5.240000,4.880000,35.440000
5.390000,-15.100000,-63.670000
5.360000,4.690000,35.460000
5.680000,4.670000,35.310000
-14.470000,5.660000,-14.180000
6.030000,-16.170000,-63.410000
6.440000,5.720000,35.480000
5.400000,4.650000,35.440000
5.870000,5.560000,35.650000
-14.480000,5.630000,-14.160000
5.480000,-15.280000,-63.770000
5.250000,4.810000,35.450000
-14.700000,5.840000,-13.810000
-15.350000,5.900000,-14.150000
5.890000,-16.760000,-63.900000
-14.390000,5.820000,-13.920000
-15.870000,6.480000,-14.190000
-14.590000,6.040000,-14.090000
5.360000,-15.100000,-63.670000
5.500000,-15.140000,-63.410000
5.430000,5.170000,35.650000
-14.410000,5.710000,-14.100000
5.350000,4.680000,35.440000
-14.490000,5.640000,-13.940000
